"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Palantír of Orthanc","","M","1397","1.41","1034","1.38","6131","58.8%","1103","70.0%","1696","61.4%","2799","64.8%","3319","53.6%","11.2pp"
"Phial of Galadriel","","R","4629","2.20","1635","2.27","7856","54.9%","1446","56.6%","2048","56.4%","3494","56.5%","4338","53.6%","2.9pp"
"Shire Scarecrow","","C","113511","8.32","12580","11.91","7985","48.3%","1532","47.2%","2001","48.6%","3533","48.0%","4431","48.6%","-0.6pp"
"Sting, the Glinting Dagger","","R","5364","2.58","1023","2.85","3539","50.8%","615","50.4%","877","51.3%","1492","50.9%","2036","50.7%","0.3pp"
"Stone of Erech","","U","41485","7.69","4286","11.63","277","","40","","77","","117","","160","",""
"Wizard's Rockets","","C","111317","7.68","15629","10.78","20126","52.2%","3631","52.4%","5317","53.0%","8948","52.8%","11165","51.7%","1.0pp"
"Barad-dûr","","R","5222","2.39","1873","2.66","9695","57.3%","1789","56.3%","2464","57.4%","4253","57.0%","5427","57.6%","-0.7pp"
"Great Hall of the Citadel","","C","105016","6.76","14356","9.57","37255","52.9%","6499","54.7%","9549","54.4%","16048","54.5%","21159","51.7%","2.9pp"
"The Grey Havens","","U","37914","6.27","3836","9.77","5559","51.1%","1004","46.2%","1363","53.9%","2367","50.7%","3171","51.4%","-0.7pp"
"Minas Tirith","","R","6181","2.81","1667","3.27","7800","55.2%","1330","55.6%","1977","56.9%","3307","56.4%","4485","54.2%","2.1pp"
"Mines of Moria","","R","10050","4.19","1682","5.91","6210","55.5%","1098","57.6%","1513","55.1%","2611","56.1%","3591","55.0%","1.1pp"
"Mount Doom","","M","3364","3.13","645","3.88","1918","57.6%","348","56.0%","489","60.3%","837","58.5%","1077","56.8%","1.7pp"
"Rivendell","","R","7299","3.23","1669","4.01","7117","52.4%","1296","54.1%","2032","54.7%","3328","54.5%","3748","50.5%","4.0pp"
"The Shire","","R","7183","3.24","1438","3.93","5772","52.6%","1012","58.0%","1384","54.6%","2396","56.0%","3365","50.1%","5.9pp"
"Shire Terrace","","C","98702","5.64","14766","8.14","55441","53.1%","10197","52.2%","13972","53.5%","24169","52.9%","31189","53.2%","-0.3pp"
