"Name","Color","Rarity","# Picked","ATA","# OH","OH WR","# GIH","GIH WR","IWD"
"Mirror of Galadriel","","U","244","9.00","42","","126","",""
"Mithril Coat","","R","87","1.99","25","","89","",""
"The One Ring","","M","57","1.46","36","","76","",""
"Palantír of Orthanc","","M","56","1.36","36","","97","",""
"Phial of Galadriel","","R","116","1.97","69","","158","",""
"Shire Scarecrow","","C","809","11.86","66","","145","",""
"Sting, the Glinting Dagger","","R","82","2.34","44","","96","",""
"Stone of Erech","","U","239","11.26","7","","13","",""
"Barad-dûr","","R","119","2.33","85","","188","",""
"The Grey Havens","","U","222","9.10","72","","166","",""
"Minas Tirith","","R","107","2.73","66","","166","",""
"Mines of Moria","","R","122","4.92","61","","143","",""
"Mount Doom","","M","44","2.73","24","","52","",""
"Rivendell","","R","107","3.12","71","","183","",""
"The Shire","","R","101","3.78","52","","119","",""
