"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Rise of the Witch-king","BG","U","33818","4.88","5789","6.58","16434","53.6%","2649","52.7%","4275","57.9%","6924","56.0%","9506","51.9%","4.0pp"
"Samwise Gamgee","WG","R","6433","2.77","1665","2.92","6777","52.8%","1215","58.6%","1724","55.5%","2939","56.8%","3749","49.5%","7.3pp"
"Saruman of Many Colors","WUB","M","2523","2.14","947","2.09","3143","47.7%","485","43.1%","947","53.3%","1432","49.9%","1661","45.5%","4.4pp"
"Sauron, the Dark Lord","UBR","M","1695","1.50","1196","1.43","6221","55.9%","1049","59.6%","1787","62.8%","2836","61.6%","3291","50.8%","10.8pp"
"Sauron's Ransom","UB","R","9213","3.76","2546","4.42","8187","55.0%","1373","54.6%","2577","59.6%","3950","57.8%","4297","52.2%","5.6pp"
"Shadow Summoning","WB","U","31767","4.51","8800","5.24","35219","58.0%","6091","62.6%","9096","60.9%","15187","61.6%","20020","55.3%","6.3pp"
"Shadowfax, Lord of Horses","WR","U","32246","4.64","6475","5.99","21897","57.0%","3499","59.3%","5118","59.1%","8617","59.2%","13094","55.4%","3.8pp"
"Shagrat, Loot Bearer","BR","R","9969","4.02","1602","5.57","3072","55.6%","499","54.7%","723","57.4%","1222","56.3%","1865","55.1%","1.2pp"
"Sharkey, Tyrant of the Shire","UB","R","14503","5.56","1829","8.50","228","","36","","76","","112","","117","",""
"Shelob, Child of Ungoliant","BG","R","4375","1.95","2201","1.91","10052","53.9%","1598","54.1%","2736","58.7%","4334","57.0%","5673","51.2%","5.8pp"
"Sméagol, Helpful Guide","BG","R","5425","2.34","1950","2.37","7640","52.4%","1268","53.5%","2000","56.5%","3268","55.4%","4354","50.2%","5.1pp"
"Strider, Ranger of the North","RG","U","35232","5.14","4790","7.32","11313","52.5%","1802","53.7%","2701","54.1%","4503","53.9%","6783","51.6%","2.4pp"
"Théoden, King of Rohan","WR","U","27986","4.11","6926","4.79","28392","57.2%","4960","61.0%","6676","58.9%","11636","59.8%","16601","55.2%","4.6pp"
"Tom Bombadil","WUBRG","M","5914","4.47","798","6.68","65","","9","","25","","34","","31","",""
"Uglúk of the White Hand","BR","U","29868","4.23","5292","5.66","21287","56.4%","3492","55.7%","5190","55.7%","8682","55.7%","12651","56.7%","-1.0pp"
"Andúril, Flame of the West","","M","1304","1.06","1283","1.06","8143","60.6%","1403","70.3%","2153","69.8%","3556","70.0%","4578","53.2%","16.7pp"
"Barrow-Blade","","U","42393","6.11","4727","9.29","6788","54.1%","1142","53.7%","1654","52.1%","2796","52.8%","3989","55.0%","-2.2pp"
"Ent-Draught Basin","","U","45628","6.99","4374","10.69","2002","50.2%","331","41.7%","497","50.7%","828","47.1%","1170","52.7%","-5.6pp"
"Glamdring","","M","2226","1.98","844","2.00","3637","52.0%","590","46.3%","1046","57.1%","1636","53.2%","1991","51.0%","2.1pp"
"Horn of Gondor","","R","3173","1.30","2657","1.28","16103","60.9%","2960","69.3%","4129","68.2%","7089","68.6%","9016","54.9%","13.7pp"
"Horn of the Mark","","R","5898","2.62","1400","2.91","4989","51.5%","848","46.8%","1183","50.8%","2031","49.1%","2956","53.1%","-4.0pp"
"Inherited Envelope","","C","121718","6.79","13383","10.20","19246","50.8%","3384","50.1%","5033","53.8%","8417","52.3%","10785","49.6%","2.7pp"
"Lembas","","C","120802","6.52","15201","9.59","29332","52.4%","5386","50.9%","10176","56.3%","15562","54.4%","15595","51.1%","3.3pp"
"Mirror of Galadriel","","U","42689","6.26","4340","9.69","4614","48.6%","762","45.4%","1231","50.9%","1993","48.8%","2608","48.4%","0.4pp"
"Mithril Coat","","R","5003","2.12","1264","2.27","5068","48.3%","807","43.4%","1270","46.8%","2077","45.5%","2973","50.3%","-4.8pp"
"The One Ring","","M","1736","1.48","915","1.47","4348","54.5%","748","53.7%","1136","58.1%","1884","56.4%","2456","53.1%","3.2pp"
"Palantír of Orthanc","","M","1593","1.40","1205","1.38","7170","58.7%","1323","69.6%","1975","61.1%","3298","64.5%","3853","53.7%","10.8pp"
"Phial of Galadriel","","R","5301","2.21","1909","2.28","9318","54.6%","1697","57.1%","2418","56.2%","4115","56.5%","5175","53.2%","3.4pp"
"Shire Scarecrow","","C","130027","8.33","14555","11.91","9495","48.4%","1790","47.2%","2411","48.8%","4201","48.1%","5268","48.7%","-0.6pp"
"Sting, the Glinting Dagger","","R","6268","2.63","1162","2.95","4050","51.0%","696","50.6%","1023","51.7%","1719","51.3%","2322","50.7%","0.5pp"
"Stone of Erech","","U","47686","7.72","4979","11.67","326","","47","","93","","140","","186","",""
"Wizard's Rockets","","C","127647","7.68","17990","10.77","23515","52.3%","4256","52.3%","6242","53.2%","10498","52.9%","13004","51.8%","1.1pp"
"Barad-dûr","","R","6006","2.41","2099","2.70","11073","57.4%","2034","56.4%","2831","57.8%","4865","57.2%","6191","57.5%","-0.3pp"
"Great Hall of the Citadel","","C","120248","6.72","16799","9.48","44355","52.8%","7740","54.1%","11425","54.7%","19165","54.4%","25132","51.5%","2.9pp"
"The Grey Havens","","U","43596","6.31","4381","9.81","6334","50.9%","1134","46.6%","1556","54.1%","2690","50.9%","3617","50.8%","0.2pp"
"Minas Tirith","","R","7128","2.83","1883","3.33","8764","54.8%","1499","55.1%","2237","56.6%","3736","56.0%","5018","54.0%","2.0pp"
"Mines of Moria","","R","11570","4.22","1927","5.97","7080","55.4%","1280","56.6%","1718","55.8%","2998","56.1%","4074","54.8%","1.4pp"
"Mount Doom","","M","3982","3.16","760","3.93","2309","58.1%","434","56.2%","580","60.5%","1014","58.7%","1291","57.6%","1.0pp"
"Rivendell","","R","8443","3.25","1930","4.02","8324","52.8%","1512","54.4%","2394","55.8%","3906","55.3%","4368","50.5%","4.8pp"
"The Shire","","R","8410","3.29","1652","4.06","6557","52.4%","1141","57.1%","1561","54.6%","2702","55.7%","3841","50.0%","5.6pp"
"Shire Terrace","","C","113495","5.64","16767","8.18","63096","53.1%","11570","52.3%","15972","53.5%","27542","53.0%","35459","53.2%","-0.1pp"
